algorithm-1, algorithm-2, algorithm-3, algorithm-4, T1(n), T2(n), T3(n), T4(n)
103.59478, 48.8595963, 60.0509644, 5.8326721, 1948, 638, 364, 132
143.9399719, 42.9477692, 31.3944817, 0.0, 5633, 1368, 612, 192
276.2813568, 62.6106262, 62.4995232, 0.0, 12293, 2373, 880, 252
540.4920578, 125.1473427, 113.8148308, 16.1447525, 22803, 3653, 1161, 312
733.1418991, 150.0749588, 114.0079498, 16.2630081, 38038, 5208, 1453, 372
1282.0301056, 195.772171, 134.0451241, 0.0, 58873, 7038, 1754, 432
1529.4756889, 320.8765984, 160.2745056, 40.4753685, 86183, 9143, 2064, 492
2081.0618401, 338.6068344, 130.235672, 31.4817429, 120843, 11523, 2380, 552
2745.5101013, 346.2758064, 187.1752739, 21.9531059, 163728, 14178, 2702, 612
3304.2764664, 380.0621033, 193.2425499, 59.6547127, 215714, 17108, 3030, 672
4477.0870209, 576.4355659, 269.0906525, 62.4995232, 277673, 20313, 3363, 732
5906.5079689, 502.7194023, 242.2709465, 31.3568115, 350484, 23793, 3700, 792
6491.3678169, 679.6431541, 242.7048683, 31.4779282, 435018, 27548, 4042, 852
8966.1989212, 924.6172905, 220.9997177, 33.4944725, 532153, 31578, 4387, 912
10720.3154564, 991.771698, 344.2134857, 62.6788139, 642763, 35883, 4737, 972
12027.8067589, 1108.8609695, 431.7016602, 33.6751938, 767724, 40463, 5089, 1032
13809.8506927, 1194.9901581, 346.3168144, 66.057682, 907908, 45318, 5445, 1092
17155.4508209, 1477.1494865, 380.147934, 31.5022469, 1064194, 50448, 5804, 1152
18815.0262833, 1488.0628586, 351.1371613, 65.5779839, 1237453, 55853, 6166, 1212

algorithm-1, algorithm-2, algorithm-3, algorithm-4, T1(n), T2(n), T3(n), T4(n)
83.9719772, 32.1288109, 42.8547859, 4.2977333, 1948, 638, 364, 132
107.1090698, 37.7287865, 24.2886543, 15.1376724, 5633, 1368, 612, 192
280.0731659, 64.4445419, 40.3113365, 19.6022987, 12293, 2373, 880, 252
516.3402557, 163.8054848, 97.7358818, 1.9984245, 22803, 3653, 1161, 312
776.304245, 163.793087, 116.3406372, 24.6620178, 38038, 5208, 1453, 372
1075.1190186, 202.3324966, 97.7239609, 0.0, 58873, 7038, 1754, 432
1679.7294617, 282.3867798, 97.2537994, 24.4650841, 86183, 9143, 2064, 492
2336.4644051, 383.7270737, 199.8620033, 40.5855179, 120843, 11523, 2380, 552
3023.6301422, 377.1247864, 195.8236694, 21.4176178, 163728, 14178, 2702, 612
3688.3540154, 417.2229767, 178.9975166, 24.2648125, 215714, 17108, 3030, 672
4888.522625, 404.0241241, 200.4718781, 28.5606384, 277673, 20313, 3363, 732
6406.6729546, 791.2917137, 289.3285751, 44.8656082, 350484, 23793, 3700, 792
7438.7640953, 600.3661156, 339.7140503, 36.4089012, 435018, 27548, 4042, 852
9539.9847031, 879.7264099, 360.2557182, 39.6690369, 532153, 31578, 4387, 912
11082.8204155, 1262.0649338, 294.5995331, 24.851799, 642763, 35883, 4737, 972
12535.4890823, 1382.7929497, 419.7602272, 42.2816277, 767724, 40463, 5089, 1032
14357.6145172, 1137.9985809, 302.3495674, 57.7087402, 907908, 45318, 5445, 1092
16684.0896606, 1335.559845, 359.3993187, 24.8789787, 1064194, 50448, 5804, 1152
18999.730587, 1535.9697342, 399.5985985, 64.3525124, 1237453, 55853, 6166, 1212
